editora,link,codigo
Intrínseca,/editora/11-intrinseca,11
Sextante,/editora/19-sextante,19
Arqueiro,/editora/21-arqueiro,21
Galera Record,/editora/25-galera-record,25
Rocco,/editora/41-rocco,41
Valentina,/editora/64-valentina,64
Editora Planeta,/editora/67-editora-planeta,67
Verus,/editora/98-verus,98
HarperCollins Brasil,/editora/100-harpercollins-brasil,100
Universo dos Livros,/editora/102-universo-dos-livros,102
Universo Geek,/editora/121-universo-geek,121
The Gift Box Editora,/editora/135-the-gift-box-editora,135
Excelsior,/editora/136-excelsior,136
AllBook,/editora/139-allbook,139
Colli Books,/editora/140-colli-books,140
